gpu_mem_total_mb,gpu_mem_used_mb,gpu_temp_c,gpu_utilisation_pct,timestamp
16376,11845,77,92,1777937768.5431428
16376,12964,76,67,1777937773.615432
16376,13093,75,93,1777937778.7167914
16376,13021,75,6,1777937784.0300577
16376,12232,73,90,1777937789.1340384
16376,12296,77,0,1777937794.2013068
16376,12296,77,95,1777937799.3683107
16376,12316,77,96,1777937804.4419227
16376,12316,78,96,1777937809.4914827
16376,12316,78,94,1777937814.560583
16376,12316,76,0,1777937819.6442642
16376,12316,78,42,1777937824.7227287
16376,12316,79,96,1777937829.7909682
16376,12316,78,95,1777937834.8492
16376,12316,79,0,1777937839.9252946
16376,12316,78,83,1777937844.984107
16376,12316,78,94,1777937850.0425882
16376,12316,77,96,1777937855.1262276
16376,12316,79,96,1777937860.1953917
16376,12316,79,30,1777937865.2603495
16376,12316,78,96,1777937870.3282673
16376,12316,78,0,1777937875.3987746
16376,12316,78,19,1777937880.4579132
16376,12316,78,90,1777937885.52862
16376,12316,78,95,1777937890.5956986
16376,12316,79,96,1777937895.6569846
16376,12316,79,96,1777937900.7198749
16376,12316,78,95,1777937905.7998006
16376,12316,77,94,1777937910.8590713
16376,12316,76,0,1777937915.934343
16376,12316,78,0,1777937921.018301
16376,12316,74,96,1777937926.1005986
16376,12316,77,95,1777937931.253981
16376,12316,77,96,1777937936.3413138
16376,12316,78,94,1777937941.409807
16376,12316,79,96,1777937946.4931927
16376,12316,79,97,1777937951.559926
16376,12316,78,0,1777937956.6287389
16376,12316,76,6,1777937961.7187476
16376,12316,76,33,1777937966.7851076
16376,12316,76,96,1777937971.8824685
16376,12316,79,60,1777937976.9539948
16376,12316,76,95,1777937982.0229752
16376,12308,74,95,1777937987.0852468
16376,12308,79,81,1777937992.1480684
16376,12308,75,96,1777937997.2043533
16376,12308,79,27,1777938002.2696784
16376,12308,79,0,1777938007.3386989
16376,12308,76,0,1777938012.409491
16376,12308,75,1,1777938017.4772205
16376,12308,78,96,1777938022.7393312
16376,12308,79,95,1777938027.7997673
16376,12308,77,0,1777938032.8629732
16376,12308,78,1,1777938037.9337668
16376,12308,75,96,1777938043.0437965
16376,12308,79,8,1777938048.104052
16376,12308,79,0,1777938053.1702864
16376,12308,76,0,1777938058.2351727
16376,12308,78,95,1777938063.3179257
16376,12308,78,95,1777938068.3887558
16376,12308,75,0,1777938073.454845
16376,12308,79,95,1777938078.5007644
16376,12308,79,90,1777938083.5734735
16376,12308,79,95,1777938088.6718435
16376,12308,78,93,1777938093.7420652
16376,12308,75,0,1777938098.792081
16376,12308,77,95,1777938103.8746414
16376,12308,73,0,1777938108.9619868
16376,12308,77,96,1777938114.0525575
16376,12308,75,93,1777938119.1200647
16376,12308,74,96,1777938124.18097
16376,12308,76,94,1777938129.314746
16376,12308,77,89,1777938134.4355633
16376,12308,75,61,1777938139.5174031
16376,12308,74,0,1777938144.5875752
16376,12308,78,89,1777938149.706576
16376,12308,74,1,1777938154.7987275
16376,12308,78,0,1777938159.8739147
16376,12308,78,94,1777938164.957708
16376,12308,74,64,1777938170.0353732
16376,12308,76,1,1777938175.1136355
16376,12308,75,92,1777938180.2027845
16376,12308,75,96,1777938185.283633
16376,12308,74,0,1777938190.3731132
16376,12308,78,85,1777938195.495491
16376,12308,78,94,1777938200.569471
16376,12308,73,0,1777938205.657615
16376,12308,78,94,1777938210.7240841
16376,12308,74,0,1777938215.8059416
16376,12308,75,94,1777938220.8941839
16376,12308,74,93,1777938225.9845273
16376,12308,75,0,1777938231.06454
16376,12308,77,0,1777938236.1953752
16376,12308,77,1,1777938241.2695913
16376,12308,78,94,1777938246.4144447
16376,12308,78,84,1777938251.4877875
16376,12308,79,90,1777938256.6251807
16376,12308,73,0,1777938261.7075994
16376,12308,78,89,1777938266.7956872
16376,12308,78,95,1777938271.876478
16376,12308,73,93,1777938276.9653614
16376,12308,77,0,1777938282.0841084
16376,12308,78,23,1777938287.170947
16376,12308,77,20,1777938292.258985
16376,12308,77,95,1777938297.3476236
16376,12308,74,0,1777938302.4348342
16376,12308,78,95,1777938307.5198717
16376,12308,78,94,1777938312.6084704
16376,12308,78,94,1777938317.6864932
16376,12308,75,21,1777938322.7646887
16376,12308,78,95,1777938327.8337297
16376,12308,74,94,1777938332.9086654
16376,12308,73,92,1777938337.9972434
16376,12308,77,0,1777938343.1203735
16376,12308,76,96,1777938348.1938598
16376,12308,75,94,1777938353.2619529
16376,12308,74,5,1777938358.3337142
16376,12308,78,95,1777938363.420681
16376,12308,77,95,1777938368.5053487
16376,12308,76,2,1777938373.5741634
16376,12308,73,1,1777938378.6373103
16376,12308,73,0,1777938383.7149901
16376,12308,75,95,1777938388.7838216
16376,12308,78,0,1777938394.3917735
16376,12308,73,1,1777938399.4822965
16376,12308,77,94,1777938404.5627193
16376,12308,74,1,1777938409.652383
16376,12308,78,95,1777938414.7364438
16376,12308,78,95,1777938419.8013191
16376,12308,78,95,1777938424.8800232
16376,12308,74,95,1777938429.9396596
16376,12308,75,95,1777938435.0265203
16376,12308,74,94,1777938440.1094093
16376,12308,73,92,1777938445.1751213
16376,12308,78,33,1777938450.259317
16376,12308,78,90,1777938455.3409398
16376,12308,74,93,1777938460.409128
16376,12308,75,0,1777938465.4693394
16376,12308,73,24,1777938470.5584042
16376,12308,76,12,1777938475.647987
16376,12308,73,40,1777938480.7515306
16376,12308,75,0,1777938485.8311546
16376,12308,78,3,1777938490.9119992
16376,12308,77,94,1777938496.011667
16376,12308,78,0,1777938501.1088364
16376,12308,74,96,1777938506.1688302
16376,12308,77,93,1777938511.2553587
16376,12308,78,93,1777938516.3204637
16376,12308,77,94,1777938521.389861
16376,12308,79,96,1777938526.4937422
16376,12308,76,0,1777938531.5570178
16376,12308,73,0,1777938536.6256242
16376,12308,74,1,1777938541.7425733
16376,12308,78,95,1777938546.813898
16376,12308,77,64,1777938551.8845415
16376,12308,77,35,1777938556.974152
16376,12308,78,1,1777938562.0330026
16376,12308,75,53,1777938567.093841
16376,12308,78,0,1777938572.1535444
16376,12308,73,89,1777938577.218002
16376,12308,74,0,1777938582.2598188
16376,12308,77,1,1777938587.328199
16376,12308,75,0,1777938592.3964355
16376,12308,78,96,1777938597.4634855
